scenario,loc_row,mang_row,soil_row,crop_col,loc_name,lat,vpdf,wth_file,tchng,pchng,co2,manag_name,fix_find,fyear,yrno,sim_doy,pdoy,lpdoy,stop_doy,sow_tmp,sow_wat,pden,nitrogen,water,irglvl,soil_name,nlyer,ldrain,salb,u,cn2,crop_name,PHYL,PLACON,PLAPOW,a_pla_den,b_pla_den,SLA,FRZTKIL,FRZLDR,HtLTH,HtLDR,TBRUE,TP1RUE,TP2RUE,TCRUE,KPAR,IRUE,CO2REF,CO2RES,FLF1A,FLF1B,WTOPL,FLF2,FRTRL,GCC,PDHI,WDHI1,WDHI2,WDHI3,WDHI4,MC,heat,TP2H,TCH,TP1F,TBF,RFmax,DEPORT,MEED,GRTDP,TECREF,WSSG,WSSL,WSSD,WSSN,FLDKIL,vpdtp,VPDcr,surviv,EPCOND,LTLRWC,SLNG,SLNS,SNCG,SNCS1,SNCS2,GNCmin,GNCmax,MXNUP,TBD,TP1D,TP2D,TCD,cpp,ppsen,bdSOWEMR,bdEMRR1,bdR1R3,bdR3R5,bdR5R7,bdR7R8,bdBRP,bdTRP,bdBSG,bdTSG,bdTLM,bdTLP,bdBLS,bdFLW,bdBNF
NV-RFD-MID-1.5,41,318,167,14,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-RFD-MID,0,1990,30,154,154,365,365,,,32,0,2,0.5,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT1.5-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,1.5,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-RFD-MID-2,41,318,167,15,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-RFD-MID,0,1990,30,154,154,365,365,,,32,0,2,0.5,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT2-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,2,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-RFD-MID-2.5,41,318,167,16,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-RFD-MID,0,1990,30,154,154,365,365,,,32,0,2,0.5,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT2.5-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,2.5,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-RFD-LTE-check,41,341,167,13,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-RFD-LTE,0,1990,30,179,179,365,365,,,32,0,2,0.5,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,0,2,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-RFD-LTE-1.5,41,341,167,14,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-RFD-LTE,0,1990,30,179,179,365,365,,,32,0,2,0.5,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT1.5-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,1.5,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-RFD-LTE-2,41,341,167,15,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-RFD-LTE,0,1990,30,179,179,365,365,,,32,0,2,0.5,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT2-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,2,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-RFD-LTE-2.5,41,341,167,16,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-RFD-LTE,0,1990,30,179,179,365,365,,,32,0,2,0.5,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT2.5-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,2.5,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-IRRI-ELY-check,41,364,167,13,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-IRRI-ELY,0,1990,30,128,128,365,365,,,32,0,1,0.6,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,0,2,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-IRRI-ELY-1.5,41,364,167,14,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-IRRI-ELY,0,1990,30,128,128,365,365,,,32,0,1,0.6,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT1.5-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,1.5,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-IRRI-ELY-2,41,364,167,15,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-IRRI-ELY,0,1990,30,128,128,365,365,,,32,0,1,0.6,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT2-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,2,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-IRRI-ELY-2.5,41,364,167,16,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-IRRI-ELY,0,1990,30,128,128,365,365,,,32,0,1,0.6,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT2.5-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,2.5,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-IRRI-MID-check,41,387,167,13,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-IRRI-MID,0,1990,30,154,154,365,365,,,32,0,1,0.6,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,0,2,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-IRRI-MID-1.5,41,387,167,14,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-IRRI-MID,0,1990,30,154,154,365,365,,,32,0,1,0.6,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT1.5-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,1.5,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-IRRI-MID-2,41,387,167,15,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-IRRI-MID,0,1990,30,154,154,365,365,,,32,0,1,0.6,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT2-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,2,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-IRRI-MID-2.5,41,387,167,16,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-IRRI-MID,0,1990,30,154,154,365,365,,,32,0,1,0.6,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT2.5-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,2.5,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-IRRI-LTE-check,41,410,167,13,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-IRRI-LTE,0,1990,30,179,179,365,365,,,32,0,1,0.6,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,0,2,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-IRRI-LTE-1.5,41,410,167,14,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-IRRI-LTE,0,1990,30,179,179,365,365,,,32,0,1,0.6,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT1.5-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,1.5,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-IRRI-LTE-2,41,410,167,15,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-IRRI-LTE,0,1990,30,179,179,365,365,,,32,0,1,0.6,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT2-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,2,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
NV-IRRI-LTE-2.5,41,410,167,16,Novelty,40,0.75,SSM_Novelty_MO.xlsx,0,1,420,MO-IRRI-LTE,0,1990,30,179,179,365,365,,,32,0,1,0.6,Soil_167,,,cm.cm-1,cm.cm-1,cm.cm-1,Soybean-LT2.5-MG4,45,1,2.5,1.016,-0.0005,0.032,,,,,10,20,30,40,0.65,2,385,0.8,0.65,0.4,150,0.05,0.22,0.7692307692307692,0.01,0,0,9999,9999,13,,,,,,,200,1000,30,4.5,0.3,0.4,0.4,0.5,50,1,2.5,0,0.1,0.55,2.5,0.8,0.02,0.005,0.005,0.007,0.065,0.6,7,27,34,45,13.09,-0.294,4,19.7,7.2,7.8,32.9,13,4,71.6,38.699999999999996,71.6,30.9,38.699999999999996,38.699999999999996,23.7,12
